,alcohol,appellation,category,date,href,price,rating,title
0,14%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-haut-brion-2016-pessac-leognan-310320/,$650,100 Points,Château Haut-Brion 2016  Pessac-Léognan
1,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-palmer-2016-margaux/,$330,100 Points,Château Palmer 2016  Margaux
2,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-pontet-canet-2016-pauillac/,$159,100 Points,Château Pontet-Canet 2016  Pauillac
3,14.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-angelus-2016-saint-emilion/,$400,100 Points,Château Angélus 2016  Saint-Émilion
4,15%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/jcp-maltus-2016-le-dome-saint-emilion/,$235,100 Points,JCP Maltus 2016 Le Dôme  (Saint-Émilion)
5,N/A,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-lafite-rothschild-2016-pauillac/,$869,99 Points,Château Lafite Rothschild 2016  Pauillac
6,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-margaux-2016-margaux/,$589,99 Points,Château Margaux 2016  Margaux
7,14%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-ausone-2016-saint-emilion/,$831,99 Points,Château Ausone 2016  Saint-Émilion
8,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-ducru-beaucaillou-2016-saint-julien/,$210,98 Points,Château Ducru Beaucaillou 2016  Saint-Julien
9,14%,Tuscany,Red,5/1/2019,https://www.winemag.com/buying-guide/tenuta-san-guido-2016-bolgheri-sassicaia/,$250,98 Points,Tenuta San Guido 2016  Bolgheri Sassicaia
10,14%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-canon-2016-saint-emilion-308580/,$129,98 Points,Château Canon 2016  Saint-Émilion
11,14%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/vieux-chateau-certan-2016-pomerol/,$350,98 Points,Vieux Château Certan 2016  Pomerol
12,13.9%,Sonoma,Red,5/1/2019,https://www.winemag.com/buying-guide/williams-selyem-2017-pinot-noir-sonoma-county/,$39,98 Points,Williams Selyem 2017 Pinot Noir (Sonoma County)
13,14.5%,Tuscany,Red,5/1/2019,https://www.winemag.com/buying-guide/baricci-2012-nello-riserva-brunello-di-montalcino/,$120,98 Points,Baricci 2012 Nello Riserva  (Brunello di Montalcino)
14,20%,Portugal,Port/Sherry,5/1/2019,https://www.winemag.com/buying-guide/w-j-grahams-1963-single-harvest-tawny-port/,$500,98 Points,W. & J. Graham's 1963 Single Harvest Tawny  (Port)
15,13.3%,Sonoma,Red,5/1/2019,https://www.winemag.com/buying-guide/williams-selyem-2017-terra-de-promissio-vineyard-pinot-noir-sonoma-coast/,$65,98 Points,Williams Selyem 2017 Terra De Promissio Vineyard Pinot Noir (Sonoma Coast)
16,14%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-mouton-rothschild-2016-pauillac/,$675,98 Points,Château Mouton Rothschild 2016  Pauillac
17,14.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-petrus-2016-pomerol/,$2950,98 Points,Château Pétrus 2016  Pomerol
18,14.5%,Tuscany,Red,5/1/2019,https://www.winemag.com/buying-guide/il-marroneto-2013-madonna-delle-grazie-riserva-brunello-di-montalcino/,$224,98 Points,Il Marroneto 2013 Madonna delle Grazie Riserva  (Brunello di Montalcino)
19,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-leoville-las-cases-2016-saint-julien/,$289,97 Points,Château Léoville Las Cases 2016  Saint-Julien
20,13.5%,Bordeaux,Red,5/1/2019,https://www.winemag.com/buying-guide/chateau-cheval-blanc-2016-saint-emilion/,$729,97 Points,Château Cheval Blanc 2016  Saint-Émilion
